feature,importance,signed_mean,impact_direction
INSTAL_PAYMENT_DIFF_MAX,0.002673644593277336,-0.00045779731693242846,Tire vers l'ACCORD du prêt
ACTIVE_AMT_CREDIT_SUM_MEAN,0.0026583531267130337,-0.0005004123100670534,Tire vers l'ACCORD du prêt
POS_MONTHS_BALANCE_MEAN,0.0025848630854303236,5.7544678066299144e-05,Tire vers le REFUS du prêt
REFUSED_AMT_CREDIT_MIN,0.0025365344418973312,0.0006008121074122493,Tire vers le REFUS du prêt
LIVINGAREA_MODE,0.002488308674852964,0.00015587147515383864,Tire vers le REFUS du prêt
INSTAL_PAYMENT_PERC_MEAN,0.0023957918815887234,-0.00042614206072266064,Tire vers l'ACCORD du prêt
PREV_DAYS_DECISION_MAX,0.002199896934078006,0.0003121521485307287,Tire vers le REFUS du prêt
APPROVED_AMT_GOODS_PRICE_MAX,0.0021239756660064125,0.00010229981049966196,Tire vers le REFUS du prêt
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,0.0019313423722720866,0.0006149580171036473,Tire vers le REFUS du prêt
BURO_CREDIT_TYPE_Microloan_MEAN,0.0016478232069643511,0.0009884812167041271,Tire vers le REFUS du prêt
BURO_CREDIT_TYPE_Mortgage_MEAN,0.0014283125683110841,-0.0013670441965869845,Tire vers l'ACCORD du prêt
